year,qtr,company,region,type,employee,revenue,profit,ceo
2005,2,1,7,asc,1505,1701479,1130.550781,CEO-1-2
2005,3,1,7,asc,1309,1510495,1153.930542,CEO-1-2
2005,4,1,7,asc,1313,1530711,1165.811890,CEO-1-2
2006,1,1,7,asc,1260,1435780,1139.507935,CEO-1-2
2006,2,1,7,asc,1346,1535585,1140.850708,CEO-1-2
2006,3,1,7,asc,1211,1441110,1190.016479,CEO-1-2
2006,4,1,7,asc,1267,1471640,1161.515381,CEO-1-2
2007,1,1,7,asc,1416,1643065,1160.356689,CEO-1-2
2007,2,1,7,asc,1532,1715150,1119.549561,CEO-1-2
2007,3,1,7,asc,1330,1477895,1111.199219,CEO-1-2
2007,4,1,7,asc,1578,1694970,1074.125488,CEO-1-2
2008,1,1,7,asc,1612,1755400,1088.957764,CEO-1-2
2008,2,1,7,asc,1731,1798138,1038.785645,CEO-1-2
2008,3,1,7,asc,1387,1491875,1075.612793,CEO-1-2
2008,4,1,7,asc,1473,1543474,1047.843872,CEO-1-2
2009,1,1,7,asc,1520,1717828,1130.150024,CEO-1-2
2009,2,1,7,asc,1452,1603514,1104.348511,CEO-1-2
2009,3,1,7,asc,1572,1727156,1098.699707,CEO-1-2
2009,4,1,7,asc,1182,1458735,1234.124390,CEO-1-2
2010,1,1,7,asc,1660,2027226,1221.220459,CEO-1-2
2010,2,1,7,asc,1658,1956601,1180.097046,CEO-1-2
2010,3,1,7,asc,1423,1695845,1191.739258,CEO-1-2
2010,4,1,7,asc,1402,1695340,1209.229614,CEO-1-2
2011,1,1,7,asc,1568,1830080,1167.142822,CEO-1-2
2011,2,1,7,asc,1525,1792681,1175.528564,CEO-1-2
2011,3,1,7,asc,1291,1517675,1175.580933,CEO-1-2
2011,4,1,7,asc,1262,1523300,1207.052246,CEO-1-2
2012,1,1,7,asc,1421,1752375,1233.198486,CEO-1-2
2012,2,1,7,asc,1374,1654475,1204.130249,CEO-1-2
2012,3,1,7,asc,1360,1661750,1221.875000,CEO-1-2
2012,4,1,7,asc,1470,1832210,1246.401367,CEO-1-2
1997,1,2,6,asc,38,133673,3517.710449,CEO-1-2
1997,2,2,6,asc,45,149487,3321.933350,CEO-1-2
1997,3,2,6,asc,442,1127284,2550.416260,CEO-1-2
1997,4,2,6,asc,192,543797,2832.276123,CEO-1-2
1998,1,2,6,asc,465,1075450,2312.795654,CEO-1-2
1998,2,2,6,asc,492,1032636,2098.853760,CEO-1-2
1998,3,2,6,asc,422,844407,2000.964478,CEO-1-2
1998,4,2,6,asc,599,1237424,2065.816406,CEO-1-2
1999,1,2,6,asc,581,1256467,2162.593750,CEO-1-2
1999,2,2,6,asc,557,1091100,1958.886841,CEO-1-2
1999,3,2,6,asc,532,1095620,2059.436035,CEO-1-2
1999,4,2,6,asc,463,900959,1945.915771,CEO-1-2
2000,1,2,6,asc,306,611631,1998.794067,CEO-1-2
2000,2,2,6,asc,186,299800,1611.828003,CEO-1-2
2000,3,2,6,asc,167,254002,1520.970093,CEO-1-2
2000,4,2,6,asc,137,227110,1657.737183,CEO-1-2
2001,1,2,6,asc,146,241360,1653.150635,CEO-2
2001,2,2,6,asc,119,152364,1280.369751,CEO-2
2007,1,2,6,asc,210,274697,1308.080933,CEO-2
2007,2,2,6,asc,349,471700,1351.575928,CEO-2
2007,3,2,6,asc,311,437220,1405.852051,CEO-2
2007,4,2,6,asc,357,504199,1412.322144,CEO-2
2008,1,2,6,asc,407,575435,1413.845215,CEO-2
2008,2,2,6,asc,375,552840,1474.239990,CEO-2
2008,3,2,6,asc,266,394329,1482.439819,CEO-2
2008,4,2,6,asc,338,506781,1499.352051,CEO-2
2009,1,2,6,asc,306,445544,1456.026123,CEO-2
2009,2,2,6,asc,339,453876,1338.867310,CEO-2
2009,3,2,6,asc,262,385271,1470.500000,CEO-2
2009,4,2,6,asc,306,458254,1497.562134,CEO-2
2010,1,2,6,asc,353,508867,1441.549561,CEO-2
2010,4,2,6,asc,255,362825,1422.843140,CEO-2
2011,1,2,6,asc,240,335400,1397.500000,CEO-2
2011,2,2,6,asc,231,306625,1327.380981,CEO-2
2012,1,2,6,asc,252,413665,1641.527832,CEO-2
2012,2,2,6,asc,226,346765,1534.358398,CEO-2
2012,3,2,6,asc,208,304395,1463.437500,CEO-2
2012,4,2,6,asc,219,343420,1568.127808,CEO-2
1997,1,3,11,asc,1001,757366,756.609375,CEO-3
1997,2,3,11,asc,165,125870,762.848511,CEO-3
1997,3,3,11,asc,1234,921651,746.880859,CEO-3
1997,4,3,11,asc,1250,964873,771.898376,CEO-3
1998,1,3,11,asc,1339,1059503,791.264404,CEO-3
1998,2,3,11,asc,1436,1226546,854.140686,CEO-3
1998,3,3,11,asc,1283,1143387,891.182373,CEO-3
1998,4,3,11,asc,1543,1389660,900.622192,CEO-3
1999,1,3,11,asc,1592,1410902,886.244995,CEO-3
1999,2,3,11,asc,1646,1446723,878.932556,CEO-3
1999,3,3,11,asc,1708,1551287,908.247681,CEO-3
1999,4,3,11,asc,1943,1824194,938.854370,CEO-3
2000,1,3,11,asc,1958,1845008,942.292114,CEO-3
1997,1,4,8,asc,1123,1501230,1336.803223,CEO-4
1997,2,4,8,asc,1100,1191665,1083.331787,CEO-4
1997,3,4,8,asc,1176,1093291,929.669189,CEO-4
1997,4,4,8,asc,1087,887766,816.712036,CEO-4
1998,1,4,8,asc,1202,947026,787.875183,CEO-4
1998,2,4,8,asc,1161,941564,810.993958,CEO-4
1998,3,4,8,asc,1039,865485,832.998047,CEO-4
1998,4,4,8,asc,1088,877004,806.069824,CEO-4
1999,1,4,8,asc,1231,1450234,1178.094238,CEO-4
1999,2,4,8,asc,1183,1135584,959.918823,CEO-4
1999,3,4,8,asc,1099,1075007,978.168335,CEO-4
1999,4,4,8,asc,1270,1249005,983.468506,CEO-4
2000,1,4,8,asc,1358,1612114,1187.123657,CEO-4
2000,2,4,8,asc,1313,1532259,1166.990845,CEO-4
2000,3,4,8,asc,1188,1438348,1210.730591,CEO-4
2000,4,4,8,asc,1313,1605047,1222.427246,CEO-4
2001,1,4,8,asc,1489,1803194,1211.010132,CEO-4
2001,2,4,8,asc,1476,1899716,1287.070435,CEO-4
2001,3,4,8,asc,1310,1722274,1314.713013,CEO-4
2001,4,4,8,asc,1131,1489482,1316.960205,CEO-4
2002,1,4,8,asc,1116,1520817,1362.739258,CEO-4
2002,2,4,8,asc,1114,1533909,1376.938110,CEO-4
2002,3,4,8,asc,1075,1482396,1378.973022,CEO-4
2002,4,4,8,asc,1158,1589057,1372.242676,CEO-4
2003,1,4,8,asc,959,1366964,1425.405640,CEO-4
2003,2,4,8,asc,1086,1679054,1546.090210,CEO-4
2003,3,4,8,asc,1043,1520385,1457.703735,CEO-4
2003,4,4,8,asc,1048,1501957,1433.165039,CEO-4
2004,1,4,8,asc,1027,1508438,1468.780884,CEO-4
2004,2,4,8,asc,1020,1446062,1417.707886,CEO-4
2004,3,4,8,asc,825,1186997,1438.784302,CEO-4
2004,4,4,8,asc,870,2122244,2439.360840,CEO-4
2005,1,4,8,asc,1344,4549713,3385.203125,CEO-4
2005,2,4,8,asc,1506,5666069,3762.330078,CEO-4
2005,3,4,8,asc,1412,5820093,4121.878906,CEO-4
2005,4,4,8,asc,1397,6016546,4306.761719,CEO-4
2006,1,4,8,asc,1421,6230708,4384.734863,CEO-4
2006,2,4,8,asc,1335,6153477,4609.346191,CEO-4
2006,3,4,8,asc,290,1266097,4365.851563,CEO-4
2006,4,4,8,asc,1282,6054806,4722.937500,CEO-4
2007,1,4,8,asc,1321,6364748,4818.128906,CEO-4
2007,2,4,8,asc,1276,6380030,5000.023438,CEO-4
2007,3,4,8,asc,1155,6065178,5251.236328,CEO-4
2007,4,4,8,asc,1159,6005611,5181.717773,CEO-4
2008,1,4,8,asc,1309,7299516,5576.406250,CEO-4
2008,2,4,8,asc,1003,5704733,5687.669922,CEO-4
2008,3,4,8,asc,1221,7477942,6124.440430,CEO-4
2008,4,4,8,asc,1238,7948839,6420.709961,CEO-4
2009,1,4,8,asc,1411,8231729,5833.968262,CEO-4
2009,2,4,8,asc,1338,7916088,5916.358887,CEO-4
2009,3,4,8,asc,1187,6950275,5855.328613,CEO-4
2009,4,4,8,asc,1150,6730372,5852.497559,CEO-4
2010,1,4,8,asc,1151,7172985,6231.958984,CEO-4
2010,2,4,8,asc,1056,6086672,5763.894043,CEO-4
1997,1,5,5,asc,4478,5276440,1178.302856,CEO-5
1997,2,5,5,asc,3955,4586322,1159.626343,CEO-5
1997,3,5,5,asc,3532,4084585,1156.451050,CEO-5
1997,4,5,5,asc,4126,4808820,1165.491943,CEO-5
1998,1,5,5,asc,4650,5433850,1168.569946,CEO-5
1998,2,5,5,asc,3614,4264467,1179.985352,CEO-5
1998,3,5,5,asc,3363,4119095,1224.827515,CEO-5
1998,4,5,5,asc,4058,5091977,1254.799683,CEO-5
1999,1,5,5,asc,5366,6735680,1255.251587,CEO-5
1999,2,5,5,asc,4883,6101110,1249.459351,CEO-5
1999,3,5,5,asc,3955,4948362,1251.166138,CEO-5
1999,4,5,5,asc,4403,5547400,1259.913696,CEO-5
2000,1,5,5,asc,5184,6522425,1258.183838,CEO-5
2000,2,5,5,asc,4383,5546505,1265.458618,CEO-5
2000,3,5,5,asc,4369,5541030,1268.260498,CEO-5
2000,4,5,5,asc,4385,5634880,1285.035400,CEO-5
2001,1,5,5,asc,5454,6958600,1275.870972,CEO-5
2001,2,5,5,asc,5089,6359940,1249.742554,CEO-5
2001,3,5,5,asc,4699,5908865,1257.472900,CEO-5
2001,4,5,5,asc,5492,6881580,1253.018921,CEO-5
2002,1,5,5,asc,6018,7632620,1268.298462,CEO-5
2002,2,5,5,asc,5199,6751120,1298.541992,CEO-5
2002,3,5,5,asc,4720,6010984,1273.513550,CEO-5
2002,4,5,5,asc,4284,5462720,1275.144775,CEO-5
2003,1,5,5,asc,4784,6042535,1263.071655,CEO-5
2003,2,5,5,asc,3488,4364050,1251.161133,CEO-5
2003,3,5,5,asc,3017,3775485,1251.403687,CEO-5
2003,4,5,5,asc,3051,3815945,1250.719482,CEO-5
2004,1,5,5,asc,3822,4448331,1163.875244,CEO-5
2004,2,5,5,asc,3468,4010060,1156.303345,CEO-5
2004,3,5,5,asc,3338,3880224,1162.439819,CEO-5
2004,4,5,5,asc,3318,3831576,1154.784790,CEO-5
2005,1,5,5,asc,4193,4847116,1156.001953,CEO-5
2005,2,5,5,asc,3414,3933952,1152.299927,CEO-5
2005,3,5,5,asc,3112,3660177,1176.149414,CEO-5
2005,4,5,5,asc,3035,3615891,1191.397339,CEO-5
2006,1,5,5,asc,3616,4398614,1216.430908,CEO-5
2006,2,5,5,asc,3031,3679534,1213.967041,CEO-5
2006,3,5,5,asc,2896,3482373,1202.476807,CEO-5
2006,4,5,5,asc,2917,3559769,1220.352783,CEO-5
2007,1,5,5,asc,3415,4193077,1227.840942,CEO-5
2007,2,5,5,asc,3246,4025612,1240.176270,CEO-5
2007,3,5,5,asc,2521,3148370,1248.857544,CEO-5
2007,4,5,5,asc,2941,3659918,1244.446777,CEO-5
2008,1,5,5,asc,3322,4100912,1234.470825,CEO-5
2008,2,5,5,asc,3018,3833877,1270.337036,CEO-5
2008,3,5,5,asc,2618,3277897,1252.061523,CEO-5
2008,4,5,5,asc,2489,3064537,1231.232178,CEO-5
2009,1,5,5,asc,3100,3701344,1193.981934,CEO-5
2009,2,5,5,asc,2839,3473631,1223.540283,CEO-5
2009,3,5,5,asc,2206,2678935,1214.385742,CEO-5
2009,4,5,5,asc,2646,3266004,1234.317505,CEO-5
2010,1,5,5,asc,3248,3898318,1200.221069,CEO-5
2010,2,5,5,asc,2889,3504190,1212.942139,CEO-5
2010,3,5,5,asc,2454,2947239,1200.993896,CEO-5
2010,4,5,5,asc,2627,3233690,1230.944092,CEO-5
2011,1,5,5,asc,2930,3655483,1247.605103,CEO-5
2011,2,5,5,asc,2660,3358672,1262.658691,CEO-5
2011,3,5,5,asc,2302,2905961,1262.363647,CEO-5
2011,4,5,5,asc,2558,3269310,1278.072754,CEO-5
2012,1,5,5,asc,3000,3959686,1319.895386,CEO-5
2012,2,5,5,asc,2807,3634996,1294.975464,CEO-5
2012,3,5,5,asc,2519,3311080,1314.442261,CEO-5
2012,4,5,5,asc,2772,3587425,1294.164917,CEO-5
1997,1,6,2,asc,536,375810,701.138062,CEO-6
1997,2,6,2,asc,485,329693,679.779358,CEO-6
1997,3,6,2,asc,520,357110,686.750000,CEO-6
1997,4,6,2,asc,550,389811,708.747253,CEO-6
1998,1,6,2,asc,556,374027,672.710449,CEO-6
1998,2,6,2,asc,596,391346,656.620789,CEO-6
1998,3,6,2,asc,542,356179,657.156799,CEO-6
1998,4,6,2,asc,573,393579,686.874329,CEO-6
1999,1,6,2,asc,687,469137,682.877747,CEO-6
1999,2,6,2,asc,651,463909,712.609802,CEO-6
1999,3,6,2,asc,615,406616,661.164246,CEO-6
1999,4,6,2,asc,583,407497,698.965698,CEO-6
2000,1,6,2,asc,684,470287,687.554077,CEO-6
2000,2,6,2,asc,699,467425,668.705322,CEO-6
2000,3,6,2,asc,807,559070,692.775696,CEO-6
2000,4,6,2,asc,721,538584,746.995850,CEO-6
2001,1,6,2,asc,621,429254,691.230286,CEO-6
2001,2,6,2,asc,585,404246,691.018799,CEO-6
2001,3,6,2,asc,519,368348,709.726379,CEO-6
2001,4,6,2,asc,529,367892,695.447998,CEO-6
2002,1,6,2,asc,577,403268,698.904663,CEO-6
2002,2,6,2,asc,717,501073,698.846558,CEO-6
2002,3,6,2,asc,657,484065,736.780823,CEO-6
2002,4,6,2,asc,572,397114,694.255249,CEO-6
2003,1,6,2,asc,574,401013,698.628906,CEO-6
2003,2,6,2,asc,628,453373,721.931519,CEO-6
2003,3,6,2,asc,842,626434,743.983398,CEO-6
2003,4,6,2,asc,780,573806,735.648743,CEO-6
2004,1,6,2,asc,757,538948,711.952454,CEO-6
2004,2,6,2,asc,708,496266,700.940674,CEO-6
2004,3,6,2,asc,591,419418,709.675110,CEO-6
2004,4,6,2,asc,693,491742,709.584412,CEO-6
2005,1,6,2,asc,715,513762,718.548279,CEO-6
2005,2,6,2,asc,586,413611,705.820801,CEO-6
2005,3,6,2,asc,631,471665,747.488098,CEO-6
2005,4,6,2,asc,720,549446,763.119446,CEO-6
2006,1,6,2,asc,666,499500,750.000000,CEO-6
2006,2,6,2,asc,767,573043,747.122559,CEO-6
2006,3,6,2,asc,713,515062,722.387085,CEO-6
2006,4,6,2,asc,645,451616,700.179871,CEO-6
2007,1,6,2,asc,683,474107,694.153748,CEO-6
2007,2,6,2,asc,774,546494,706.064575,CEO-6
2007,3,6,2,asc,691,491867,711.819092,CEO-6
2007,4,6,2,asc,662,464647,701.883667,CEO-6
2008,1,6,2,asc,716,466865,652.046082,CEO-6
2008,2,6,2,asc,599,395641,660.502502,CEO-6
2008,3,6,2,asc,649,431231,664.454529,CEO-6
2008,4,6,2,asc,581,389456,670.320129,CEO-6
2009,1,6,2,asc,695,439679,632.631653,CEO-6
2009,2,6,2,asc,660,431066,653.130310,CEO-6
2009,3,6,2,asc,657,431931,657.429199,CEO-6
2009,4,6,2,asc,667,437642,656.134949,CEO-6
2010,1,6,2,asc,717,475226,662.797791,CEO-6
2010,2,6,2,asc,678,460436,679.109131,CEO-6
2010,3,6,2,asc,576,377281,655.001709,CEO-6
2010,4,6,2,asc,503,346345,688.558655,CEO-6
2011,1,6,2,asc,559,575690,1029.856934,CEO-6
2011,2,6,2,asc,574,630165,1097.848389,CEO-6
2011,3,6,2,asc,480,507515,1057.322876,CEO-6
2011,4,6,2,asc,457,520940,1139.912476,CEO-6
2012,1,6,2,asc,483,517301,1071.016602,CEO-6
2012,2,6,2,asc,546,555640,1017.655701,CEO-6
2012,3,6,2,asc,541,550434,1017.438049,CEO-6
2012,4,6,2,asc,571,549061,961.577942,CEO-6
1997,1,7,8,asc,910,2672437,2936.743896,CEO-7
1997,2,7,8,asc,957,2659074,2778.551758,CEO-7
1997,3,7,8,asc,790,2393211,3029.381104,CEO-7
1997,4,7,8,asc,812,2401966,2958.086182,CEO-7
1998,1,7,8,asc,954,2732823,2864.594238,CEO-7
1998,2,7,8,asc,911,3365413,3694.196533,CEO-7
1998,3,7,8,asc,757,2819482,3724.546875,CEO-7
1998,4,7,8,asc,881,2837441,3220.704834,CEO-7
1999,1,7,8,asc,1012,3188357,3150.550293,CEO-7
1999,2,7,8,asc,932,2686027,2882.003174,CEO-7
1999,3,7,8,asc,819,2499087,3051.388184,CEO-7
1999,4,7,8,asc,895,2851648,3186.198975,CEO-7
2000,1,7,8,asc,964,3247285,3368.552979,CEO-7
2000,2,7,8,asc,867,2796797,3225.832764,CEO-7
2000,3,7,8,asc,932,3036484,3258.030029,CEO-7
2000,4,7,8,asc,990,3234077,3266.744385,CEO-7
2001,1,7,8,asc,1065,3581341,3362.761475,CEO-7
2001,2,7,8,asc,938,3012386,3211.499023,CEO-7
2001,3,7,8,asc,795,2565793,3227.412598,CEO-7
2001,4,7,8,asc,973,3215484,3304.711182,CEO-7
2002,1,7,8,asc,1037,3992668,3850.210205,CEO-7
2002,2,7,8,asc,951,3531883,3713.862305,CEO-7
2002,3,7,8,asc,934,3446045,3689.555664,CEO-7
2002,4,7,8,asc,1123,4187876,3729.186035,CEO-7
2003,1,7,8,asc,1244,4757822,3824.615723,CEO-7
2003,2,7,8,asc,1243,4916209,3955.115967,CEO-7
2003,3,7,8,asc,1130,4431050,3921.283203,CEO-7
2003,4,7,8,asc,1133,4271755,3770.304443,CEO-7
2004,1,7,8,asc,1301,5287941,4064.520264,CEO-7
2004,2,7,8,asc,1172,5559771,4743.832031,CEO-7
2004,3,7,8,asc,995,4634918,4658.208984,CEO-7
2004,4,7,8,asc,1071,5307263,4955.427734,CEO-7
2005,1,7,8,asc,1121,5064763,4518.075684,CEO-7
2005,2,7,8,asc,923,3702359,4011.223145,CEO-7
2005,3,7,8,asc,789,3260828,4132.861816,CEO-7
2005,4,7,8,asc,744,3151005,4235.221680,CEO-7
2006,1,7,8,asc,931,3900272,4189.336426,CEO-7
2006,2,7,8,asc,906,3949773,4359.572754,CEO-7
2006,3,7,8,asc,707,3209727,4539.924805,CEO-7
2006,4,7,8,asc,810,3429084,4233.437012,CEO-7
2007,1,7,8,asc,833,3660020,4393.781738,CEO-7
2007,2,7,8,asc,732,3204292,4377.448242,CEO-7
2007,3,7,8,asc,648,2855931,4407.300781,CEO-7
2007,4,7,8,asc,566,2234786,3948.385254,CEO-7
2008,1,7,8,asc,580,2288233,3945.229248,CEO-7
2008,2,7,8,asc,355,1367475,3852.042236,CEO-7
2008,3,7,8,asc,231,1483739,6423.112793,CEO-7
2008,4,7,8,asc,611,3786067,6196.508789,CEO-7
2009,1,7,8,asc,749,5036498,6724.296387,CEO-7
2009,2,7,8,asc,543,4150044,7642.806641,CEO-7
2009,3,7,8,asc,519,4302918,8290.786133,CEO-7
2009,4,7,8,asc,543,4283282,7888.180664,CEO-7
2010,1,7,8,asc,558,4783939,8573.367188,CEO-7
2010,2,7,8,asc,519,4371679,8423.273438,CEO-7
2010,3,7,8,asc,400,3318889,8297.222656,CEO-7
2010,4,7,8,asc,448,3369752,7521.768066,CEO-7
2011,1,7,8,asc,573,4916765,8580.742188,CEO-7
2011,2,7,8,asc,553,4553272,8233.764648,CEO-7
2011,3,7,8,asc,439,3825487,8714.093750,CEO-7
2011,4,7,8,asc,532,4705324,8844.593750,CEO-7
2012,1,7,8,asc,491,3988034,8122.269043,CEO-7
2012,2,7,8,asc,543,4107772,7564.957520,CEO-7
2012,3,7,8,asc,587,4623397,7876.314941,CEO-7
2012,4,7,8,asc,657,4921544,7490.934570,CEO-7
1997,1,8,7,asc,907,2133777,2352.565674,CEO-8
1997,2,8,7,asc,758,670719,884.853577,CEO-8
1997,1,9,10,asc,1365,2835926,2077.601563,CEO-9
1997,2,9,10,asc,1277,2661905,2084.498779,CEO-9
1997,3,9,10,asc,1207,2695351,2233.099365,CEO-9
1997,4,9,10,asc,1301,2960564,2275.606445,CEO-9
1998,1,9,10,asc,1441,3216725,2232.286621,CEO-9
1998,2,9,10,asc,1383,3208652,2320.066406,CEO-9
1998,3,9,10,asc,1267,3060012,2415.163330,CEO-9
1998,4,9,10,asc,885,2153164,2432.953613,CEO-9
1999,1,9,10,asc,1412,3170581,2245.453857,CEO-9
1999,2,9,10,asc,1411,3349890,2374.124756,CEO-9
1999,3,9,10,asc,1347,3225846,2394.837402,CEO-9
1999,4,9,10,asc,1496,3366511,2250.341553,CEO-9
2000,1,9,10,asc,1510,3297358,2183.680908,CEO-9
2000,2,9,10,asc,1439,3058720,2125.587158,CEO-9
2000,3,9,10,asc,1396,2987394,2139.967041,CEO-9
2000,4,9,10,asc,1363,2799804,2054.148193,CEO-9
2001,1,9,10,asc,1427,3013514,2111.782715,CEO-9
2001,2,9,10,asc,1471,3292211,2238.076904,CEO-9
2001,3,9,10,asc,1394,3613228,2591.985596,CEO-9
2001,4,9,10,asc,1615,3886422,2406.453369,CEO-9
2002,1,9,10,asc,1534,3811199,2484.484375,CEO-9
2002,2,9,10,asc,1661,4044156,2434.771729,CEO-9
2002,3,9,10,asc,1584,3927378,2479.405273,CEO-9
2002,4,9,10,asc,1600,4358682,2724.176270,CEO-9
2003,1,9,10,asc,1718,5051606,2940.399414,CEO-9
2003,2,9,10,asc,1804,5409844,2998.804932,CEO-9
2003,3,9,10,asc,1793,5230932,2917.418945,CEO-9
2003,4,9,10,asc,1729,5558239,3214.713135,CEO-9
2004,1,9,10,asc,1719,5626186,3272.941162,CEO-9
2004,2,9,10,asc,1617,5570163,3444.751465,CEO-9
2004,3,9,10,asc,1462,5101266,3489.238037,CEO-9
2004,4,9,10,asc,1476,5187229,3514.382813,CEO-9
2005,1,9,10,asc,1688,6072082,3597.205078,CEO-9
2005,2,9,10,asc,1695,5995164,3536.969971,CEO-9
2005,3,9,10,asc,1691,6531056,3862.244873,CEO-9
2005,4,9,10,asc,1304,5301829,4065.819824,CEO-9
2006,1,9,10,asc,1595,6562631,4114.501953,CEO-9
2006,2,9,10,asc,1481,6411569,4329.216309,CEO-9
2006,3,9,10,asc,1447,6618956,4574.261230,CEO-9
2006,4,9,10,asc,1480,6812379,4602.958984,CEO-9
2007,1,9,10,asc,1571,7313636,4655.401855,CEO-9
2007,2,9,10,asc,1594,8259471,5181.600586,CEO-9
2007,3,9,10,asc,1483,7730083,5212.463379,CEO-9
2007,4,9,10,asc,1647,8581019,5210.090332,CEO-9
2008,1,9,10,asc,1462,6881401,4706.840820,CEO-9
2008,2,9,10,asc,1432,6388628,4461.332520,CEO-9
2008,3,9,10,asc,1274,5548274,4355.002930,CEO-9
2008,4,9,10,asc,1235,5474233,4432.577148,CEO-9
2009,1,9,10,asc,1307,4041236,3091.993896,CEO-9
2009,2,9,10,asc,1352,4484500,3316.937988,CEO-9
2009,3,9,10,asc,1263,4555284,3606.717285,CEO-9
2009,4,9,10,asc,1259,4682312,3719.072266,CEO-9
2010,1,9,10,asc,1159,5027820,4338.067383,CEO-9
2010,2,9,10,asc,1205,5724738,4750.819824,CEO-9
2010,3,9,10,asc,1162,5432976,4675.538574,CEO-9
2010,4,9,10,asc,1256,5528528,4401.694336,CEO-9
2011,1,9,10,asc,1100,4998749,4544.317383,CEO-9
2011,2,9,10,asc,1135,5821656,5129.212402,CEO-9
2011,3,9,10,asc,1098,5155513,4695.367188,CEO-9
2011,4,9,10,asc,971,4792752,4935.893066,CEO-9
2012,1,9,10,asc,1018,4690703,4607.763184,CEO-9
2012,2,9,10,asc,1121,5451685,4863.233887,CEO-9
2012,3,9,10,asc,941,4427031,4704.602539,CEO-9
2012,4,9,10,asc,1023,4930081,4819.238281,CEO-9
1997,1,10,8,asc,459,338461,737.387817,CEO-10
1997,2,10,8,asc,479,371085,774.707703,CEO-10
1997,3,10,8,asc,423,357413,844.947998,CEO-10
1997,4,10,8,asc,435,357570,822.000000,CEO-10
1998,1,10,8,asc,383,260792,680.919067,CEO-10
1998,2,10,8,asc,434,357820,824.470032,CEO-10
1998,3,10,8,asc,335,275397,822.080627,CEO-10
1998,4,10,8,asc,418,349106,835.181824,CEO-10
1999,1,10,8,asc,432,344658,797.819458,CEO-10
1999,2,10,8,asc,426,428686,1006.305176,CEO-10
1999,3,10,8,asc,381,355171,932.207336,CEO-10
1999,4,10,8,asc,365,390611,1070.167114,CEO-10
2000,1,10,8,asc,347,305242,879.659912,CEO-10
2000,2,10,8,asc,402,358708,892.308472,CEO-10
2000,3,10,8,asc,367,328535,895.190735,CEO-10
2000,4,10,8,asc,406,369207,909.376831,CEO-10
2001,1,10,8,asc,418,385295,921.758362,CEO-10
2001,2,10,8,asc,378,342449,905.949707,CEO-10
2001,3,10,8,asc,319,308014,965.561157,CEO-10
2001,4,10,8,asc,382,361215,945.588989,CEO-10
2002,1,10,8,asc,338,318494,942.289917,CEO-10
2002,2,10,8,asc,348,323611,929.916687,CEO-10
2002,3,10,8,asc,341,315213,924.378296,CEO-10
2002,4,10,8,asc,299,294301,984.284302,CEO-10
2003,1,10,8,asc,319,309136,969.078369,CEO-10
2003,2,10,8,asc,391,444436,1136.664917,CEO-10
2003,3,10,8,asc,352,379434,1077.937500,CEO-10
2003,4,10,8,asc,333,350997,1054.045044,CEO-10
2004,1,10,8,asc,412,476743,1157.143188,CEO-10
2004,2,10,8,asc,295,341354,1157.132202,CEO-10
2004,3,10,8,asc,332,401394,1209.018066,CEO-10
2004,4,10,8,asc,343,406112,1184.000000,CEO-10
2005,1,10,8,asc,369,472906,1281.588135,CEO-10
2005,2,10,8,asc,338,385153,1139.505859,CEO-10
